review_id,text,aspects,sentiments,rating
R0050,Terrible service. The waiter was rude and inattentive. Beautiful atmosphere! The restaurant has a cozy and romantic ambiance.,"service,ambiance","negative,positive",3
R0051,"Wonderful ambiance, perfect for a date night. Wonderful staff, very accommodating and helpful.","ambiance,service","positive,positive",5
R0052,"Fair prices, nothing remarkable. Impeccably clean environment. Very hygienic. Wonderful staff, very accommodating and helpful.","price,cleanliness,service","neutral,positive,positive",5
R0053,Very dirty restaurant. Health code violations visible. Average service. Staff was polite but not very attentive.,"cleanliness,service","negative,neutral",1
R0054,"Outstanding customer service. Our waiter was amazing. The food was okay, nothing special about the pizza.","service,food","positive,neutral",5
R0055,"Awful atmosphere. Dark, dirty, and uncomfortable. Superb taste! The risotto was fresh and flavorful. Great service throughout our meal. Very welcoming.","ambiance,food,service","negative,positive,positive",5
R0056,"Great deals and fair prices. Wonderful ambiance, perfect for a date night. The service was impeccable, quick and professional.","price,ambiance,service","positive,positive,positive",4
R0057,Worst seafood I've ever eaten. Very disappointing. The ambiance was terrible. Too noisy and crowded.,"food,ambiance","negative,negative",2
R0058,Rude staff and long wait times. Very frustrating.,service,negative,2
R0059,Great service throughout our meal. Very welcoming.,service,positive,5
R0060,Great value for money! Very affordable prices.,price,positive,5
R0061,"The ambiance was okay, typical restaurant setting. Average taste. The burger was acceptable but not memorable.","ambiance,food","neutral,neutral",3
R0062,Poor cleanliness. The bathroom was disgusting. The atmosphere was warm and inviting. Great music too.,"cleanliness,ambiance","negative,positive",3
R0063,Very clean restaurant. Everything was spotless.,cleanliness,positive,5
R0064,"Service was okay, nothing exceptional. Standard ambiance, neither good nor bad. The food was disappointing. The pizza was cold and bland.","service,ambiance,food","neutral,neutral,negative",1
R0065,Excellent service! The staff was very attentive and friendly. Very clean restaurant. Everything was spotless. Excellent prices for the quality you get.,"service,cleanliness,price","positive,positive,positive",5
R0066,"The service was impeccable, quick and professional. Impeccably clean environment. Very hygienic. Affordable and worth every penny.","service,cleanliness,price","positive,positive,positive",5
R0067,Very slow service. We waited 45 minutes for our order. Way too expensive for what you get. Overpriced. Very clean restaurant. Everything was spotless.,"service,price,cleanliness","negative,negative,positive",1
R0068,"Awful atmosphere. Dark, dirty, and uncomfortable. Amazing cuisine, the pizza was cooked to perfection. The service was impeccable, quick and professional.","ambiance,food,service","negative,positive,positive",5
R0069,Dirty tables and floors. Very unhygienic. Stunning interior design. Very comfortable setting. Very slow service. We waited 45 minutes for our order.,"cleanliness,ambiance,service","negative,positive,negative",2
R0070,"Best steak I've ever had. The flavors were incredible. The ambiance was okay, typical restaurant setting. Sparkling clean. You can tell they take cleanliness seriously.","food,ambiance,cleanliness","positive,neutral,positive",4
R0071,"Beautiful atmosphere! The restaurant has a cozy and romantic ambiance. Wonderful staff, very accommodating and helpful.","ambiance,service","positive,positive",4
R0072,Very unpleasant environment. Too loud to have a conversation.,ambiance,negative,1
R0073,Ridiculously overpriced. Poor value for money.,price,negative,2
R0074,Sparkling clean. You can tell they take cleanliness seriously.,cleanliness,positive,5
R0075,Love the decor and lighting. Very pleasant environment.,ambiance,positive,4
R0076,Pristine conditions. Bathrooms were immaculate. Prices are average for this type of restaurant.,"cleanliness,price","positive,neutral",4
R0077,Excellent prices for the quality you get. Very slow service. We waited 45 minutes for our order. Not clean at all. Found hair in my food.,"price,service,cleanliness","positive,negative,negative",1
R0078,Very reasonable pricing. Good bang for your buck. Excellent service! The staff was very attentive and friendly.,"price,service","positive,positive",5
R0079,Affordable and worth every penny.,price,positive,4
R0080,"Awful atmosphere. Dark, dirty, and uncomfortable. Excellent hygiene standards. Very well maintained.","ambiance,cleanliness","negative,positive",3
R0081,Sparkling clean. You can tell they take cleanliness seriously. Very slow service. We waited 45 minutes for our order.,"cleanliness,service","positive,negative",3
R0082,"Cleanliness was acceptable, standard level.",cleanliness,neutral,3
R0083,The food was absolutely delicious! seafood highly recommend the I.,food,positive,4
R0084,Outstanding food quality. The steak dish was phenomenal.,food,positive,5
R0085,"Awful atmosphere. Dark, dirty, and uncomfortable. Excellent hygiene standards. Very well maintained. Affordable and worth every penny.","ambiance,cleanliness,price","negative,positive,positive",4
R0086,Very clean restaurant. Everything was spotless. Rude staff and long wait times. Very frustrating. Outstanding food quality. The risotto dish was phenomenal.,"cleanliness,service,food","positive,negative,positive",5
R0087,The atmosphere was warm and inviting. Great music too.,ambiance,positive,4
R0088,Excellent service! The staff was very attentive and friendly. Pristine conditions. Bathrooms were immaculate.,"service,cleanliness","positive,positive",5
R0089,"Standard restaurant food. The pasta was just fine. Wonderful ambiance, perfect for a date night. Wonderful staff, very accommodating and helpful.","food,ambiance,service","neutral,positive,positive",5
R0090,Great deals and fair prices.,price,positive,4
R0091,Excellent prices for the quality you get.,price,positive,5
R0092,Dirty tables and floors. Very unhygienic. Great value for money! Very affordable prices.,"cleanliness,price","negative,positive",3
R0093,"Wonderful ambiance, perfect for a date night. Very reasonable pricing. Good bang for your buck.","ambiance,price","positive,positive",5
R0094,"The service was impeccable, quick and professional. The food was disappointing. The pasta was cold and bland.","service,food","positive,negative",3
R0095,Excellent prices for the quality you get. Poor customer service. Staff was unprofessional.,"price,service","positive,negative",3
R0096,Outstanding food quality. The seafood dish was phenomenal. Rude staff and long wait times. Very frustrating.,"food,service","positive,negative",3
R0097,"Wonderful ambiance, perfect for a date night. Worst service ever. They forgot our order twice.","ambiance,service","positive,negative",3
R0098,"Standard pricing, what you'd expect. Outstanding customer service. Our waiter was amazing.","price,service","neutral,positive",5
R0099,Food was not fresh at all. The steak made me sick.,food,negative,2
R0100,The ambiance was terrible. Too noisy and crowded. Outstanding customer service. Our waiter was amazing.,"ambiance,service","negative,positive",3
R0101,Ridiculously overpriced. Poor value for money.,price,negative,1
R0102,The food was absolutely delicious! pasta highly recommend the I.,food,positive,5
R0103,"Wonderful staff, very accommodating and helpful. Not worth the price at all. Very expensive.","service,price","positive,negative",3
R0104,"Standard ambiance, neither good nor bad. Excellent hygiene standards. Very well maintained.","ambiance,cleanliness","neutral,positive",5
R0105,Excellent service! The staff was very attentive and friendly. Superb taste! The pasta was fresh and flavorful.,"service,food","positive,positive",5
R0106,"Beautiful atmosphere! The restaurant has a cozy and romantic ambiance. The food was okay, nothing special about the salad.","ambiance,food","positive,neutral",5
R0107,Great service throughout our meal. Very welcoming.,service,positive,5
R0108,Very dirty restaurant. Health code violations visible. Best pizza I've ever had. The flavors were incredible.,"cleanliness,food","negative,positive",3
R0109,The food was absolutely delicious! pizza highly recommend the I.,food,positive,5
R0110,Average service. Staff was polite but not very attentive. Love the decor and lighting. Very pleasant environment.,"service,ambiance","neutral,positive",5
R0111,The ambiance was terrible. Too noisy and crowded.,ambiance,negative,1
R0112,Great deals and fair prices.,price,positive,4
R0113,"Overcooked and tasteless. The salad was inedible. Standard pricing, what you'd expect.","food,price","negative,neutral",1
R0114,Extremely expensive. Not worth it.,price,negative,1
R0115,"Cleanliness was acceptable, standard level.",cleanliness,neutral,3
R0116,Affordable and worth every penny. Worst burger I've ever eaten. Very disappointing.,"price,food","positive,negative",3
R0117,Love the decor and lighting. Very pleasant environment. Way too expensive for what you get. Overpriced.,"ambiance,price","positive,negative",3
R0118,"Amazing cuisine, the steak was cooked to perfection. Great value for money! Very affordable prices. Impeccably clean environment. Very hygienic.","food,price,cleanliness","positive,positive,positive",5
R0119,Average taste. The seafood was acceptable but not memorable.,food,neutral,3
R0120,Love the decor and lighting. Very pleasant environment. Very clean restaurant. Everything was spotless.,"ambiance,cleanliness","positive,positive",5
R0121,"Wonderful ambiance, perfect for a date night. Outstanding food quality. The risotto dish was phenomenal.","ambiance,food","positive,positive",5
R0122,Love the decor and lighting. Very pleasant environment.,ambiance,positive,5
R0123,Very slow service. We waited 45 minutes for our order. Very reasonable pricing. Good bang for your buck.,"service,price","negative,positive",3
R0124,Very slow service. We waited 45 minutes for our order.,service,negative,1
R0125,"The atmosphere was warm and inviting. Great music too. Wonderful staff, very accommodating and helpful. Best risotto I've ever had. The flavors were incredible.","ambiance,service,food","positive,positive,positive",4
R0126,"Very clean restaurant. Everything was spotless. Wonderful ambiance, perfect for a date night.","cleanliness,ambiance","positive,positive",5
R0127,"Very reasonable pricing. Good bang for your buck. Amazing cuisine, the salad was cooked to perfection.","price,food","positive,positive",5
R0128,"Standard service, nothing to complain about.",service,neutral,3
R0129,The food was disappointing. The seafood was cold and bland. Dirty tables and floors. Very unhygienic.,"food,cleanliness","negative,negative",2
R0130,Not worth the price at all. Very expensive. Very clean restaurant. Everything was spotless.,"price,cleanliness","negative,positive",3
R0131,Stunning interior design. Very comfortable setting.,ambiance,positive,5
R0132,Sparkling clean. You can tell they take cleanliness seriously.,cleanliness,positive,5
R0133,Very reasonable pricing. Good bang for your buck. Impeccably clean environment. Very hygienic.,"price,cleanliness","positive,positive",4
R0134,The food was absolutely delicious! salad highly recommend the I. Dirty tables and floors. Very unhygienic.,"food,cleanliness","positive,negative",3
R0135,"Awful atmosphere. Dark, dirty, and uncomfortable. Outstanding customer service. Our waiter was amazing.","ambiance,service","negative,positive",3
R0136,"The service was impeccable, quick and professional. Affordable and worth every penny. The food was absolutely delicious! risotto highly recommend the I.","service,price,food","positive,positive,positive",4
R0137,Sparkling clean. You can tell they take cleanliness seriously. Terrible service. The waiter was rude and inattentive.,"cleanliness,service","positive,negative",3
R0138,The food was absolutely delicious! risotto highly recommend the I.,food,positive,5
R0139,"Extremely expensive. Not worth it. The service was impeccable, quick and professional.","price,service","negative,positive",3
R0140,"Affordable and worth every penny. Very dirty restaurant. Health code violations visible. Awful atmosphere. Dark, dirty, and uncomfortable.","price,cleanliness,ambiance","positive,negative,negative",1
R0141,Bad lighting and uncomfortable seating. Not pleasant. Great value for money! Very affordable prices.,"ambiance,price","negative,positive",3
R0142,Pristine conditions. Bathrooms were immaculate. The ambiance was terrible. Too noisy and crowded.,"cleanliness,ambiance","positive,negative",3
R0143,Dirty tables and floors. Very unhygienic.,cleanliness,negative,1
R0144,Affordable and worth every penny. Pristine conditions. Bathrooms were immaculate.,"price,cleanliness","positive,positive",5
R0145,Very slow service. We waited 45 minutes for our order. Very reasonable pricing. Good bang for your buck. Poor cleanliness. The bathroom was disgusting.,"service,price,cleanliness","negative,positive,negative",1
R0146,Rude staff and long wait times. Very frustrating. Stunning interior design. Very comfortable setting. Standard restaurant food. The pizza was just fine.,"service,ambiance,food","negative,positive,neutral",3
R0147,The atmosphere was warm and inviting. Great music too. Poor customer service. Staff was unprofessional.,"ambiance,service","positive,negative",3
R0148,"Standard service, nothing to complain about.",service,neutral,3
R0149,"Service was okay, nothing exceptional. Excellent hygiene standards. Very well maintained.","service,cleanliness","neutral,positive",4
R0150,Food was not fresh at all. The seafood made me sick. Stunning interior design. Very comfortable setting.,"food,ambiance","negative,positive",3
R0151,The atmosphere was warm and inviting. Great music too. Great service throughout our meal. Very welcoming.,"ambiance,service","positive,positive",5
R0152,Stunning interior design. Very comfortable setting.,ambiance,positive,4
R0153,The food was disappointing. The pizza was cold and bland. Excellent hygiene standards. Very well maintained. Love the decor and lighting. Very pleasant environment.,"food,cleanliness,ambiance","negative,positive,positive",5
R0154,"Wonderful staff, very accommodating and helpful. Best pasta I've ever had. The flavors were incredible. Wonderful ambiance, perfect for a date night.","service,food,ambiance","positive,positive,positive",4
R0155,"Standard ambiance, neither good nor bad.",ambiance,neutral,3
R0156,Too pricey for mediocre food. Poor customer service. Staff was unprofessional.,"price,service","negative,negative",2
R0157,"The service was impeccable, quick and professional. Standard ambiance, neither good nor bad. Pristine conditions. Bathrooms were immaculate.","service,ambiance,cleanliness","positive,neutral,positive",5
R0158,Too pricey for mediocre food. Sparkling clean. You can tell they take cleanliness seriously.,"price,cleanliness","negative,positive",3
R0159,Pristine conditions. Bathrooms were immaculate. Poor ambiance. The place felt cramped and stuffy.,"cleanliness,ambiance","positive,negative",3
R0160,"Standard ambiance, neither good nor bad.",ambiance,neutral,3
R0161,The atmosphere was warm and inviting. Great music too.,ambiance,positive,4
R0162,"Impeccably clean environment. Very hygienic. The service was impeccable, quick and professional.","cleanliness,service","positive,positive",5
R0163,Best risotto I've ever had. The flavors were incredible.,food,positive,5
R0164,Dirty tables and floors. Very unhygienic. Excellent service! The staff was very attentive and friendly. The atmosphere was warm and inviting. Great music too.,"cleanliness,service,ambiance","negative,positive,positive",5
R0165,Beautiful atmosphere! The restaurant has a cozy and romantic ambiance. Very clean restaurant. Everything was spotless.,"ambiance,cleanliness","positive,positive",5
R0166,Poor quality ingredients. My seafood tasted terrible. Affordable and worth every penny.,"food,price","negative,positive",3
R0167,Excellent service! The staff was very attentive and friendly.,service,positive,4
R0168,Overcooked and tasteless. The seafood was inedible. The atmosphere was warm and inviting. Great music too.,"food,ambiance","negative,positive",3
R0169,The ambiance was terrible. Too noisy and crowded. Best pizza I've ever had. The flavors were incredible.,"ambiance,food","negative,positive",3
R0170,Poor customer service. Staff was unprofessional.,service,negative,2
R0171,"Wonderful staff, very accommodating and helpful. Excellent prices for the quality you get.","service,price","positive,positive",5
R0172,Pristine conditions. Bathrooms were immaculate. Excellent service! The staff was very attentive and friendly.,"cleanliness,service","positive,positive",5
R0173,Extremely expensive. Not worth it.,price,negative,1
R0174,Beautiful atmosphere! The restaurant has a cozy and romantic ambiance. Superb taste! The pizza was fresh and flavorful.,"ambiance,food","positive,positive",5
R0175,"Wonderful ambiance, perfect for a date night. Superb taste! The salad was fresh and flavorful. Excellent hygiene standards. Very well maintained.","ambiance,food,cleanliness","positive,positive,positive",5
R0176,Poor cleanliness. The bathroom was disgusting. Superb taste! The burger was fresh and flavorful.,"cleanliness,food","negative,positive",3
R0177,Very clean restaurant. Everything was spotless. Terrible service. The waiter was rude and inattentive.,"cleanliness,service","positive,negative",3
R0178,The ambiance was terrible. Too noisy and crowded. Terrible hygiene. The place was filthy.,"ambiance,cleanliness","negative,negative",2
R0179,"Amazing cuisine, the risotto was cooked to perfection. Great value for money! Very affordable prices.","food,price","positive,positive",5
R0180,"Wonderful staff, very accommodating and helpful.",service,positive,5
R0181,Worst service ever. They forgot our order twice. The atmosphere was warm and inviting. Great music too.,"service,ambiance","negative,positive",3
R0182,Superb taste! The salad was fresh and flavorful. Beautiful atmosphere! The restaurant has a cozy and romantic ambiance.,"food,ambiance","positive,positive",4
R0183,"Wonderful staff, very accommodating and helpful. Great deals and fair prices.","service,price","positive,positive",5
R0184,Very unpleasant environment. Too loud to have a conversation. Affordable and worth every penny.,"ambiance,price","negative,positive",3
R0185,Poor quality ingredients. My risotto tasted terrible. Stunning interior design. Very comfortable setting.,"food,ambiance","negative,positive",3
R0186,"Not worth the price at all. Very expensive. Amazing cuisine, the pizza was cooked to perfection.","price,food","negative,positive",3
R0187,Terrible hygiene. The place was filthy. Poor customer service. Staff was unprofessional.,"cleanliness,service","negative,negative",2
R0188,Not worth the price at all. Very expensive. The ambiance was terrible. Too noisy and crowded. Terrible service. The waiter was rude and inattentive.,"price,ambiance,service","negative,negative,negative",2
R0189,Rude staff and long wait times. Very frustrating. Too pricey for mediocre food.,"service,price","negative,negative",2
R0190,Pristine conditions. Bathrooms were immaculate. Beautiful atmosphere! The restaurant has a cozy and romantic ambiance. Great value for money! Very affordable prices.,"cleanliness,ambiance,price","positive,positive,positive",5
R0191,Excellent service! The staff was very attentive and friendly. Excellent prices for the quality you get.,"service,price","positive,positive",5
R0192,Love the decor and lighting. Very pleasant environment.,ambiance,positive,5
R0193,Stunning interior design. Very comfortable setting. Great service throughout our meal. Very welcoming. Sparkling clean. You can tell they take cleanliness seriously.,"ambiance,service,cleanliness","positive,positive,positive",5
R0194,Pristine conditions. Bathrooms were immaculate. Superb taste! The salad was fresh and flavorful.,"cleanliness,food","positive,positive",5
R0195,Outstanding customer service. Our waiter was amazing. Affordable and worth every penny.,"service,price","positive,positive",4
R0196,Excellent prices for the quality you get.,price,positive,5
R0197,The atmosphere was warm and inviting. Great music too. Great deals and fair prices.,"ambiance,price","positive,positive",4
R0198,"Average atmosphere, nothing special about the decor.",ambiance,neutral,3
R0199,Stunning interior design. Very comfortable setting. Rude staff and long wait times. Very frustrating. Dirty tables and floors. Very unhygienic.,"ambiance,service,cleanliness","positive,negative,negative",2
R0200,"The ambiance was okay, typical restaurant setting. Impeccably clean environment. Very hygienic.","ambiance,cleanliness","neutral,positive",5
R0201,Overcooked and tasteless. The salad was inedible. Outstanding customer service. Our waiter was amazing.,"food,service","negative,positive",3
R0202,Great value for money! Very affordable prices.,price,positive,4
R0203,The food was disappointing. The burger was cold and bland. Terrible service. The waiter was rude and inattentive.,"food,service","negative,negative",1
R0204,Great deals and fair prices. Terrible service. The waiter was rude and inattentive. Outstanding food quality. The burger dish was phenomenal.,"price,service,food","positive,negative,positive",4
R0205,Impeccably clean environment. Very hygienic. Overcooked and tasteless. The pasta was inedible.,"cleanliness,food","positive,negative",3
R0206,Great value for money! Very affordable prices. Terrible hygiene. The place was filthy.,"price,cleanliness","positive,negative",3
R0207,Poor cleanliness. The bathroom was disgusting. Worst service ever. They forgot our order twice. Best burger I've ever had. The flavors were incredible.,"cleanliness,service,food","negative,negative,positive",2
R0208,Too pricey for mediocre food. The atmosphere was warm and inviting. Great music too. Superb taste! The risotto was fresh and flavorful.,"price,ambiance,food","negative,positive,positive",5
R0209,Poor ambiance. The place felt cramped and stuffy. Outstanding food quality. The salad dish was phenomenal.,"ambiance,food","negative,positive",3
R0210,Outstanding food quality. The salad dish was phenomenal. Great service throughout our meal. Very welcoming.,"food,service","positive,positive",4
R0211,Too pricey for mediocre food.,price,negative,1
R0212,"The ambiance was okay, typical restaurant setting.",ambiance,neutral,3
R0213,"Average cleanliness, nothing concerning. Best burger I've ever had. The flavors were incredible.","cleanliness,food","neutral,positive",5
R0214,Average taste. The burger was acceptable but not memorable. Very unpleasant environment. Too loud to have a conversation. Very slow service. We waited 45 minutes for our order.,"food,ambiance,service","neutral,negative,negative",2
R0215,"Excellent hygiene standards. Very well maintained. Wonderful ambiance, perfect for a date night. Outstanding food quality. The pizza dish was phenomenal.","cleanliness,ambiance,food","positive,positive,positive",5
R0216,"Average atmosphere, nothing special about the decor. Great deals and fair prices. The service was impeccable, quick and professional.","ambiance,price,service","neutral,positive,positive",5
R0217,The atmosphere was warm and inviting. Great music too.,ambiance,positive,4
R0218,Very dirty restaurant. Health code violations visible. Great service throughout our meal. Very welcoming.,"cleanliness,service","negative,positive",3
R0219,Impeccably clean environment. Very hygienic.,cleanliness,positive,5
R0220,The food was absolutely delicious! seafood highly recommend the I. Very reasonable pricing. Good bang for your buck.,"food,price","positive,positive",4
R0221,"Way too expensive for what you get. Overpriced. Wonderful staff, very accommodating and helpful.","price,service","negative,positive",3
R0222,Bad lighting and uncomfortable seating. Not pleasant. Worst steak I've ever eaten. Very disappointing.,"ambiance,food","negative,negative",1
R0223,Love the decor and lighting. Very pleasant environment. Great deals and fair prices.,"ambiance,price","positive,positive",4
R0224,The food was absolutely delicious! risotto highly recommend the I.,food,positive,4
R0225,"The ambiance was okay, typical restaurant setting.",ambiance,neutral,3
R0226,Rude staff and long wait times. Very frustrating.,service,negative,1
R0227,Worst salad I've ever eaten. Very disappointing.,food,negative,2
R0228,"Very clean restaurant. Everything was spotless. Average atmosphere, nothing special about the decor.","cleanliness,ambiance","positive,neutral",5
R0229,"The food was okay, nothing special about the salad.",food,neutral,3
R0230,The food was disappointing. The salad was cold and bland. Impeccably clean environment. Very hygienic.,"food,cleanliness","negative,positive",3
R0231,Excellent service! The staff was very attentive and friendly.,service,positive,5
R0232,"Outstanding food quality. The risotto dish was phenomenal. Wonderful staff, very accommodating and helpful.","food,service","positive,positive",5
R0233,Great service throughout our meal. Very welcoming. Poor quality ingredients. My burger tasted terrible.,"service,food","positive,negative",3
R0234,Dirty tables and floors. Very unhygienic.,cleanliness,negative,2
R0235,"Way too expensive for what you get. Overpriced. Reasonably clean, met basic standards.","price,cleanliness","negative,neutral",1
R0236,Superb taste! The risotto was fresh and flavorful. Average service. Staff was polite but not very attentive. Beautiful atmosphere! The restaurant has a cozy and romantic ambiance.,"food,service,ambiance","positive,neutral,positive",5
R0237,Very clean restaurant. Everything was spotless.,cleanliness,positive,4
R0238,Impeccably clean environment. Very hygienic.,cleanliness,positive,4
R0239,Great service throughout our meal. Very welcoming. The atmosphere was warm and inviting. Great music too. Pristine conditions. Bathrooms were immaculate.,"service,ambiance,cleanliness","positive,positive,positive",4
R0240,Poor ambiance. The place felt cramped and stuffy. Overcooked and tasteless. The seafood was inedible.,"ambiance,food","negative,negative",2
R0241,"The service was impeccable, quick and professional. Sparkling clean. You can tell they take cleanliness seriously.","service,cleanliness","positive,positive",5
R0242,The ambiance was terrible. Too noisy and crowded. Very reasonable pricing. Good bang for your buck.,"ambiance,price","negative,positive",3
R0243,Very reasonable pricing. Good bang for your buck. The food was absolutely delicious! risotto highly recommend the I.,"price,food","positive,positive",5
R0244,The food was disappointing. The pizza was cold and bland. Poor ambiance. The place felt cramped and stuffy.,"food,ambiance","negative,negative",1
R0245,Affordable and worth every penny.,price,positive,5
R0246,Impeccably clean environment. Very hygienic. Affordable and worth every penny. Superb taste! The salad was fresh and flavorful.,"cleanliness,price,food","positive,positive,positive",5
R0247,"Amazing cuisine, the seafood was cooked to perfection. Not worth the price at all. Very expensive. Wonderful ambiance, perfect for a date night.","food,price,ambiance","positive,negative,positive",4
R0248,Great deals and fair prices. Poor cleanliness. The bathroom was disgusting. Worst service ever. They forgot our order twice.,"price,cleanliness,service","positive,negative,negative",1
R0249,Excellent hygiene standards. Very well maintained. The food was absolutely delicious! steak highly recommend the I.,"cleanliness,food","positive,positive",5
R0250,The atmosphere was warm and inviting. Great music too. Pristine conditions. Bathrooms were immaculate.,"ambiance,cleanliness","positive,positive",5
R0251,"Service was okay, nothing exceptional. Superb taste! The pizza was fresh and flavorful. Impeccably clean environment. Very hygienic.","service,food,cleanliness","neutral,positive,positive",5
R0252,"Great deals and fair prices. Wonderful ambiance, perfect for a date night.","price,ambiance","positive,positive",5
R0253,"Awful atmosphere. Dark, dirty, and uncomfortable. Average service. Staff was polite but not very attentive. Poor quality ingredients. My steak tasted terrible.","ambiance,service,food","negative,neutral,negative",1
R0254,Very clean restaurant. Everything was spotless. The ambiance was terrible. Too noisy and crowded.,"cleanliness,ambiance","positive,negative",3
R0255,"Best seafood I've ever had. The flavors were incredible. Average atmosphere, nothing special about the decor. Excellent hygiene standards. Very well maintained.","food,ambiance,cleanliness","positive,neutral,positive",5
